project,date,num_commits
disq,2019-07-02,2
disq,2019-07-10,1
disq,2019-07-16,1
disq,2019-08-01,1
disq,2019-08-08,1
disq,2019-09-09,2
disq,2019-11-06,1
disq,2018-11-01,1
disq,2019-08-01,1
disq,2019-11-06,1
gatk,2015-05-13,1
gatk,2015-06-08,1
gatk,2015-06-17,1
gatk,2015-06-22,1
gatk,2015-06-23,1
gatk,2015-06-24,1
gatk,2015-06-26,1
gatk,2015-07-06,1
gatk,2015-07-08,1
gatk,2015-07-10,1
gatk,2015-07-14,2
gatk,2015-07-24,1
gatk,2015-08-06,1
gatk,2015-08-18,1
gatk,2015-08-20,2
gatk,2015-08-25,2
gatk,2015-09-07,1
gatk,2015-09-08,1
gatk,2015-09-09,3
gatk,2015-09-10,1
gatk,2015-09-11,3
gatk,2015-09-15,1
gatk,2015-09-18,4
gatk,2015-09-21,1
gatk,2015-09-22,3
gatk,2015-09-23,1
gatk,2015-09-25,1
gatk,2015-09-27,1
gatk,2015-09-29,1
gatk,2015-10-08,1
gatk,2015-10-13,1
gatk,2015-10-16,1
gatk,2015-11-17,2
gatk,2015-11-18,1
gatk,2015-11-23,3
gatk,2015-11-24,2
gatk,2015-12-11,1
gatk,2015-12-14,1
gatk,2015-12-15,1
gatk,2016-01-08,2
gatk,2016-01-12,1
gatk,2016-01-13,1
gatk,2016-01-14,1
gatk,2016-01-27,1
gatk,2016-02-16,1
gatk,2016-02-29,1
gatk,2016-03-01,1
gatk,2016-03-30,1
gatk,2016-05-13,3
gatk,2016-06-08,1
gatk,2016-06-29,1
gatk,2016-07-01,1
gatk,2016-07-06,1
gatk,2016-07-13,1
gatk,2016-07-26,1
gatk,2016-08-16,1
gatk,2016-08-31,1
gatk,2016-09-12,1
gatk,2016-09-15,1
gatk,2016-11-03,1
gatk,2016-11-08,1
gatk,2017-01-11,1
gatk,2017-02-03,1
gatk,2017-03-08,1
gatk,2017-03-15,1
gatk,2017-05-01,1
gatk,2017-06-06,1
gatk,2017-06-12,1
gatk,2017-06-19,2
gatk,2017-06-20,2
gatk,2017-08-14,1
gatk,2017-08-22,1
gatk,2017-08-29,1
gatk,2017-09-01,1
gatk,2017-09-06,1
gatk,2017-09-07,3
gatk,2017-09-27,1
gatk,2017-10-05,2
gatk,2017-11-03,2
gatk,2017-12-18,1
gatk,2017-12-21,1
gatk,2018-05-10,1
gatk,2018-05-11,1
gatk,2018-08-21,1
gatk,2018-10-02,2
gatk,2018-10-03,2
gatk,2018-10-08,1
gatk,2018-10-09,1
gatk,2018-11-08,1
gatk,2018-11-21,1
gatk,2018-12-03,1
gatk,2018-12-04,1
gatk,2018-12-05,1
gatk,2018-12-10,1
gatk,2019-01-11,1
gatk,2019-01-16,1
gatk,2019-01-24,1
gatk,2019-01-28,1
gatk,2019-02-05,1
gatk,2019-03-04,2
gatk,2019-03-08,1
gatk,2019-03-25,1
gatk,2019-05-01,1
gatk,2019-06-03,1
gatk,2019-06-04,1
gatk,2019-06-05,1
gatk,2019-06-28,1
gatk,2019-07-15,2
gatk,2019-07-29,1
gatk,2019-08-09,1
gatk,2019-09-17,1
gatk,2019-10-07,1
gatk,2019-10-28,1
gatk,2019-12-10,1
gatk,2015-06-08,1
gatk,2015-06-17,1
gatk,2015-06-18,1
gatk,2015-06-25,1
gatk,2015-06-26,1
gatk,2015-07-08,1
gatk,2015-07-15,1
gatk,2015-07-16,1
gatk,2015-07-27,1
gatk,2015-08-06,1
gatk,2019-06-28,1
hadoop,2009-06-23,1
hadoop,2009-06-26,1
hadoop,2009-07-17,1
hadoop,2009-08-03,1
hadoop,2009-09-03,1
hadoop,2009-09-04,1
hadoop,2009-09-07,1
hadoop,2009-09-08,1
hadoop,2009-09-16,1
hadoop,2009-12-01,1
hadoop,2009-12-03,1
hadoop,2009-12-09,3
hadoop,2009-12-11,1
hadoop,2009-12-14,2
hadoop,2009-12-15,5
hadoop,2009-12-17,1
hadoop,2009-12-22,3
hadoop,2009-12-23,1
hadoop,2009-12-30,1
hadoop,2010-01-05,3
hadoop,2010-01-06,2
hadoop,2010-01-07,1
hadoop,2010-02-09,1
hadoop,2010-03-10,2
hadoop,2010-03-19,4
hadoop,2010-03-22,2
hadoop,2010-04-06,1
hadoop,2010-04-12,1
hadoop,2010-04-22,1
hadoop,2010-04-27,2
hadoop,2010-04-28,2
hadoop,2010-04-29,3
hadoop,2010-04-30,1
hadoop,2010-05-01,2
hadoop,2010-05-03,1
hadoop,2010-05-05,1
hadoop,2010-05-24,1
hadoop,2010-05-27,1
hadoop,2010-05-31,1
hadoop,2010-06-02,1
hadoop,2010-06-04,3
hadoop,2010-06-10,2
hadoop,2010-06-11,2
hadoop,2010-06-14,1
hadoop,2010-06-21,1
hadoop,2010-07-01,1
hadoop,2010-08-18,1
hadoop,2010-08-24,1
hadoop,2010-09-24,1
hadoop,2010-09-25,1
hadoop,2010-09-29,1
hadoop,2010-10-05,1
hadoop,2010-10-07,1
hadoop,2010-10-25,2
hadoop,2010-10-26,2
hadoop,2010-10-28,1
hadoop,2010-11-01,1
hadoop,2010-11-05,2
hadoop,2010-11-06,1
hadoop,2010-11-10,1
hadoop,2010-11-15,1
hadoop,2010-12-03,1
hadoop,2011-01-11,1
hadoop,2011-02-11,1
hadoop,2011-02-28,1
hadoop,2011-03-02,2
hadoop,2011-03-04,1
hadoop,2011-04-12,1
hadoop,2011-05-11,1
hadoop,2011-05-17,1
hadoop,2011-06-07,1
hadoop,2011-06-14,1
hadoop,2011-06-20,2
hadoop,2011-08-02,4
hadoop,2011-08-03,2
hadoop,2011-08-04,1
hadoop,2011-08-05,2
hadoop,2011-08-08,1
hadoop,2011-08-09,2
hadoop,2011-08-11,1
hadoop,2011-08-16,1
hadoop,2011-08-19,3
hadoop,2011-08-22,2
hadoop,2011-08-24,2
hadoop,2011-09-08,1
hadoop,2011-09-13,1
hadoop,2011-10-07,1
hadoop,2011-10-18,1
hadoop,2011-10-21,1
hadoop,2011-10-25,1
hadoop,2011-10-27,2
hadoop,2011-10-29,1
hadoop,2011-11-01,1
hadoop,2011-11-07,2
hadoop,2011-11-08,1
hadoop,2011-11-18,6
hadoop,2011-11-29,1
hadoop,2011-12-01,1
hadoop,2011-12-03,1
hadoop,2011-12-12,2
hadoop,2011-12-13,1
hadoop,2011-12-17,1
hadoop,2012-01-06,1
hadoop,2012-01-18,1
hadoop,2012-01-31,1
hadoop,2012-03-03,1
hadoop,2012-03-09,1
hadoop,2012-03-23,1
hadoop,2012-04-09,1
hadoop,2012-04-12,1
hadoop,2012-04-13,1
hadoop,2012-04-19,1
hadoop,2012-04-25,1
hadoop,2012-04-26,1
hadoop,2012-05-01,1
hadoop,2012-05-07,2
hadoop,2012-05-11,1
hadoop,2012-05-29,1
hadoop,2012-06-11,1
hadoop,2012-08-15,1
hadoop,2012-08-16,1
hadoop,2012-08-30,2
hadoop,2012-09-11,2
hadoop,2012-09-14,1
hadoop,2012-10-09,1
hadoop,2012-10-11,1
hadoop,2012-10-26,1
hadoop,2012-11-07,1
hadoop,2012-11-08,1
hadoop,2012-11-09,1
hadoop,2012-11-12,1
hadoop,2012-11-19,1
hadoop,2012-11-21,1
hadoop,2012-11-28,3
hadoop,2012-11-30,1
hadoop,2012-12-03,1
hadoop,2012-12-12,2
hadoop,2012-12-18,1
hadoop,2012-12-19,1
hadoop,2012-12-21,1
hadoop,2013-01-03,4
hadoop,2013-01-04,1
hadoop,2013-01-08,1
hadoop,2013-01-09,1
hadoop,2013-01-10,1
hadoop,2013-01-15,2
hadoop,2013-01-16,1
hadoop,2013-01-23,1
hadoop,2013-02-01,1
hadoop,2013-02-14,1
hadoop,2013-02-21,3
hadoop,2013-02-27,1
hadoop,2013-03-27,2
hadoop,2013-04-03,1
hadoop,2013-04-22,1
hadoop,2013-04-25,2
hadoop,2013-05-02,1
hadoop,2013-06-03,1
hadoop,2009-10-20,1
hadoop,2010-01-13,2
hadoop,2010-03-26,1
hadoop,2010-09-08,1
hadoop,2011-05-06,3
hadoop,2011-07-12,1
hadoop,2011-09-12,1
hadoop,2011-11-01,1
hadoop,2012-01-04,1
hadoop,2012-01-05,1
hadoop,2012-02-07,1
hadoop,2012-02-14,2
hadoop,2012-03-23,1
hadoop,2012-05-01,1
hadoop,2012-05-09,1
hadoop,2012-07-10,1
hadoop,2012-07-13,1
hadoop,2012-09-22,1
hadoop,2012-11-09,1
hadoop,2012-11-30,1
hadoop,2013-01-08,1
hadoop,2013-05-14,1
Hadoop-BAM,2015-05-08,1
Hadoop-BAM,2015-10-21,2
Hadoop-BAM,2015-10-23,1
Hadoop-BAM,2015-11-06,1
