project,date,num_commits
disq,2019-01-19,1
disq,2019-01-21,2
disq,2019-02-04,1
disq,2019-02-18,2
disq,2019-03-08,2
disq,2019-03-14,1
disq,2019-03-19,1
disq,2019-03-20,2
disq,2019-04-10,2
disq,2019-04-26,1
disq,2019-06-03,1
disq,2019-06-04,4
disq,2019-06-06,1
disq,2019-06-24,1
disq,2019-07-02,2
disq,2019-07-10,1
disq,2019-07-16,1
disq,2019-08-01,1
disq,2019-08-08,1
disq,2019-09-09,2
disq,2019-11-06,1
disq-benchmarks,2018-07-03,4
disq-benchmarks,2018-08-28,1
disq-benchmarks,2018-09-06,1
disq-original,2018-04-13,1
disq-original,2018-04-16,3
disq-original,2018-04-17,1
disq-original,2018-04-18,1
disq-original,2018-04-19,2
disq-original,2018-05-01,2
disq-original,2018-05-03,5
disq-original,2018-05-08,1
disq-original,2018-05-14,3
disq-original,2018-05-15,4
disq-original,2018-05-17,1
disq-original,2018-05-22,1
disq-original,2018-05-30,5
disq-original,2018-05-31,3
disq-original,2018-06-05,1
disq-original,2018-06-11,3
disq-original,2018-06-12,7
disq-original,2018-06-18,3
disq-original,2018-06-19,1
disq-original,2018-06-25,5
disq-original,2018-06-26,1
disq-original,2018-07-02,2
disq-original,2018-07-12,2
disq-original,2018-07-17,4
disq-original,2018-07-18,1
disq-original,2018-07-26,1
disq-original,2018-07-27,1
disq-original,2018-08-28,1
disq-original,2018-08-30,1
disq-original,2018-09-04,1
eventsim,2016-06-17,1
eventsim,2016-06-20,1
ga4gh-variant-comparison,2021-07-22,2
ga4gh-variant-comparison,2021-07-27,1
ga4gh-variant-comparison,2021-07-30,1
ga4gh-variant-comparison,2021-08-04,1
ga4gh-variant-sim,2021-07-29,1
ga4gh-variant-sim,2021-07-30,1
gatk,2015-05-13,1
gatk,2015-06-08,1
gatk,2015-06-17,1
gatk,2015-06-22,1
gatk,2015-06-23,1
gatk,2015-06-24,1
gatk,2015-06-26,1
gatk,2015-07-06,1
gatk,2015-07-08,1
gatk,2015-07-10,1
gatk,2015-07-14,2
gatk,2015-07-24,1
gatk,2015-08-06,1
gatk,2015-08-18,1
gatk,2015-08-20,2
gatk,2015-08-25,2
gatk,2015-09-07,1
gatk,2015-09-08,1
gatk,2015-09-09,3
gatk,2015-09-10,1
gatk,2015-09-11,3
gatk,2015-09-15,1
gatk,2015-09-18,4
gatk,2015-09-21,1
gatk,2015-09-22,3
gatk,2015-09-23,1
gatk,2015-09-25,1
gatk,2015-09-27,1
gatk,2015-09-29,1
gatk,2015-10-08,1
gatk,2015-10-13,1
gatk,2015-10-16,1
gatk,2015-11-17,2
gatk,2015-11-18,1
gatk,2015-11-23,3
gatk,2015-11-24,2
gatk,2015-12-11,1
gatk,2015-12-14,1
gatk,2015-12-15,1
gatk,2016-01-08,2
gatk,2016-01-12,1
gatk,2016-01-13,1
gatk,2016-01-14,1
gatk,2016-01-27,1
gatk,2016-02-16,1
gatk,2016-02-29,1
gatk,2016-03-01,1
gatk,2016-03-30,1
gatk,2016-05-13,3
gatk,2016-06-08,1
gatk,2016-06-29,1
gatk,2016-07-01,1
gatk,2016-07-06,1
gatk,2016-07-13,1
gatk,2016-07-26,1
gatk,2016-08-16,1
gatk,2016-08-31,1
gatk,2016-09-12,1
gatk,2016-09-15,1
gatk,2016-11-03,1
gatk,2016-11-08,1
gatk,2017-01-11,1
gatk,2017-02-03,1
gatk,2017-03-08,1
gatk,2017-03-15,1
