project,date,num_commits
cubed-benchmarks,2024-03-20,4
cubed-benchmarks,2024-07-18,1
cubed-benchmarks,2024-07-19,3
cubed-benchmarks,2024-10-29,2
cubed-benchmarks,2024-10-30,2
cubed-feedstock,2024-08-02,1
cubed-numbers,2023-12-19,1
cubed-numbers,2024-01-03,1
cubed-xarray,2023-09-19,1
cubed-xarray,2024-04-18,2
cubed-xarray,2024-04-23,1
cubed-xarray,2024-04-30,1
cubed-xarray,2024-08-07,1
cubed-xarray,2024-08-12,1
cubed-xarray,2024-09-05,1
cubed-xarray,2024-09-13,1
cubed-xarray,2024-09-23,2
cubed-xarray,2025-01-14,1
cubed-xarray,2025-01-15,1
cubed-xarray,2025-02-06,2
cubed-xarray-feedstock,2024-04-30,1
cubed-xarray-feedstock,2024-08-02,2
cyvcf2,2020-12-22,1
cyvcf2,2020-12-23,1
cyvcf2,2021-01-05,1
cyvcf2,2021-07-19,4
cyvcf2,2021-07-20,3
cyvcf2,2021-08-30,2
cyvcf2,2021-08-31,1
cyvcf2,2021-10-25,1
cyvcf2,2022-08-04,1
cyvcf2,2022-09-21,2
cyvcf2,2023-05-15,3
dask,2021-03-09,1
dask,2021-05-26,1
dask,2022-02-11,3
dask,2022-04-13,1
dask,2022-04-19,1
dask,2022-04-28,1
filesystem_spec,2021-07-05,1
flox,2024-04-23,1
flox,2024-04-29,1
flox,2024-05-29,1
flox,2025-01-16,1
genocount,2024-08-13,1
genocount,2024-08-15,4
genocount,2024-08-16,1
genocount,2024-08-17,1
hypothesis-vcf,2024-06-13,1
hypothesis-vcf,2024-06-14,2
hypothesis-vcf,2024-07-01,1
hypothesis-vcf,2024-07-08,1
hypothesis-vcf,2024-07-18,1
hypothesis-vcf,2025-01-29,1
lithops,2020-05-10,3
lithops,2024-03-26,1
lithops,2024-03-28,2
lithops,2024-04-03,1
lithops,2024-04-04,1
lithops,2024-04-30,1
lithops,2024-05-01,2
lithops,2024-05-07,3
lithops,2024-05-09,3
memray-array,2025-03-06,1
memray-array,2025-03-10,1
memray-array,2025-03-24,2
memray-array,2025-03-25,3
memray-array,2025-04-04,6
memray-array,2025-04-07,1
memray-array,2025-04-08,2
memray-array,2025-04-14,1
memray-array,2025-04-21,1
memray-array,2025-04-23,1
memray-array,2025-05-14,1
numcodecs,2018-09-05,1
numcodecs-extra-buffer-copy,2024-12-07,1
project-curation,2025-02-16,4
project-curation,2025-04-27,2
project-curation,2025-05-30,1
project-curation,2025-06-01,1
project-curation,2025-06-03,3
project-curation,2025-06-04,2
project-curation,2025-06-05,2
rechunker,2020-07-16,2
rechunker,2020-07-17,2
rechunker,2020-07-20,1
rechunker,2020-08-07,1
rechunker,2020-08-08,2
rechunker,2020-08-12,3
rechunker,2020-08-13,1
rechunker,2020-08-14,2
rechunker,2020-09-16,1
rechunker,2021-04-27,1
rechunker,2022-09-19,1
sgkit,2020-06-29,2
sgkit,2020-06-30,4
sgkit,2020-07-01,3
sgkit,2020-07-07,1
sgkit,2020-07-13,1
sgkit,2020-07-15,1
sgkit,2020-07-20,1
sgkit,2020-07-21,1
sgkit,2020-07-27,1
sgkit,2020-08-03,1
sgkit,2020-08-07,2
sgkit,2020-08-10,1
sgkit,2020-08-11,1
sgkit,2020-08-17,1
sgkit,2020-08-27,1
sgkit,2020-08-31,4
sgkit,2020-09-01,1
sgkit,2020-09-02,2
sgkit,2020-09-03,1
sgkit,2020-09-07,1
sgkit,2020-09-11,3
sgkit,2020-09-14,4
sgkit,2020-09-17,1
sgkit,2020-09-21,2
sgkit,2020-09-22,2
sgkit,2020-09-28,2
sgkit,2020-09-29,4
sgkit,2020-09-30,1
sgkit,2020-10-01,9
sgkit,2020-10-02,4
sgkit,2020-10-05,5
sgkit,2020-10-07,1
sgkit,2020-10-08,2
sgkit,2020-10-12,1
sgkit,2020-10-13,4
sgkit,2020-10-15,2
sgkit,2020-10-19,8
sgkit,2020-10-20,3
sgkit,2020-10-21,1
sgkit,2020-10-22,2
sgkit,2020-10-23,1
sgkit,2020-10-26,12
sgkit,2020-10-27,4
sgkit,2020-10-29,2
sgkit,2020-10-30,3
sgkit,2020-11-02,2
sgkit,2020-11-03,2
sgkit,2020-11-04,1
sgkit,2020-11-05,2
sgkit,2020-11-09,3
sgkit,2020-11-10,4
sgkit,2020-11-12,2
sgkit,2020-11-13,2
sgkit,2020-11-16,6
sgkit,2020-11-17,2
sgkit,2020-11-19,1
sgkit,2020-11-20,1
sgkit,2020-11-23,1
sgkit,2020-11-24,3
sgkit,2020-11-30,5
sgkit,2020-12-01,2
sgkit,2020-12-14,2
sgkit,2020-12-15,1
sgkit,2020-12-16,1
sgkit,2020-12-17,2
sgkit,2020-12-20,1
sgkit,2020-12-21,1
sgkit,2020-12-22,1
sgkit,2021-01-04,1
sgkit,2021-01-06,1
sgkit,2021-01-19,2
sgkit,2021-01-20,1
sgkit,2021-02-03,2
sgkit,2021-02-04,1
sgkit,2021-02-15,1
sgkit,2021-02-16,1
sgkit,2021-02-22,1
sgkit,2021-02-23,1
sgkit,2021-02-26,1
sgkit,2021-03-01,1
sgkit,2021-03-02,2
sgkit,2021-03-04,1
sgkit,2021-03-05,1
sgkit,2021-03-08,2
sgkit,2021-03-09,3
sgkit,2021-03-15,1
sgkit,2021-03-16,2
sgkit,2021-03-22,1
sgkit,2021-03-23,3
sgkit,2021-03-29,1
sgkit,2021-03-31,1
sgkit,2021-04-05,2
sgkit,2021-04-06,2
sgkit,2021-04-15,1
sgkit,2021-04-20,1
sgkit,2021-04-26,1
sgkit,2021-04-27,2
sgkit,2021-05-04,1
sgkit,2021-05-05,2
sgkit,2021-05-10,2
sgkit,2021-05-13,2
sgkit,2021-05-17,2
sgkit,2021-05-18,3
sgkit,2021-05-31,2
sgkit,2021-06-01,2
sgkit,2021-06-03,1
sgkit,2021-06-07,3
sgkit,2021-06-08,1
sgkit,2021-06-14,2
sgkit,2021-06-15,3
sgkit,2021-06-28,1
sgkit,2021-06-29,1
sgkit,2021-07-05,4
sgkit,2021-07-06,1
sgkit,2021-07-08,2
sgkit,2021-07-12,1
sgkit,2021-07-13,1
sgkit,2021-07-14,2
sgkit,2021-07-19,2
sgkit,2021-07-20,2
sgkit,2021-07-23,1
sgkit,2021-07-28,1
sgkit,2021-07-29,2
sgkit,2021-08-29,1
sgkit,2021-08-30,1
sgkit,2021-09-11,1
sgkit,2021-09-14,4
sgkit,2021-09-15,2
sgkit,2021-10-01,2
sgkit,2021-10-04,1
sgkit,2021-10-06,2
sgkit,2021-10-11,3
sgkit,2021-10-13,1
sgkit,2021-10-14,1
sgkit,2021-10-18,2
sgkit,2021-10-19,1
sgkit,2021-10-20,2
sgkit,2021-10-25,1
sgkit,2021-10-27,1
sgkit,2021-10-28,1
sgkit,2021-10-29,2
sgkit,2021-11-02,1
sgkit,2021-11-08,1
sgkit,2021-11-09,2
sgkit,2021-11-11,2
sgkit,2021-11-13,2
sgkit,2021-11-15,1
sgkit,2021-11-18,4
sgkit,2021-11-23,1
sgkit,2021-11-27,1
sgkit,2021-12-09,1
sgkit,2021-12-13,2
sgkit,2021-12-14,1
sgkit,2022-01-03,1
sgkit,2022-01-07,1
sgkit,2022-01-11,3
sgkit,2022-01-17,3
sgkit,2022-01-20,4
sgkit,2022-02-03,1
sgkit,2022-02-06,1
sgkit,2022-03-03,1
sgkit,2022-03-04,1
sgkit,2022-04-01,4
sgkit,2022-04-07,1
sgkit,2022-04-14,1
sgkit,2022-04-28,4
sgkit,2022-05-05,1
sgkit,2022-05-06,1
sgkit,2022-05-12,1
sgkit,2022-05-16,1
sgkit,2022-06-09,1
sgkit,2022-06-17,1
sgkit,2022-06-20,1
sgkit,2022-08-01,1
sgkit,2022-08-02,3
sgkit,2022-08-04,1
sgkit,2022-08-09,1
sgkit,2022-08-15,1
sgkit,2022-08-30,3
sgkit,2022-09-08,2
sgkit,2022-09-28,1
sgkit,2022-09-29,2
sgkit,2022-09-30,1
sgkit,2022-10-06,1
sgkit,2022-10-17,3
sgkit,2022-10-18,3
sgkit,2022-10-24,1
sgkit,2022-10-25,1
sgkit,2022-11-01,1
sgkit,2022-11-02,2
sgkit,2022-11-14,2
sgkit,2022-11-15,2
sgkit,2022-11-16,1
sgkit,2022-11-20,1
sgkit,2022-11-22,4
sgkit,2022-11-24,5
sgkit,2022-11-29,2
sgkit,2022-11-30,2
sgkit,2022-12-05,3
sgkit,2022-12-12,1
sgkit,2022-12-14,1
sgkit,2023-01-02,1
sgkit,2023-01-03,2
sgkit,2023-01-04,2
sgkit,2023-01-09,2
sgkit,2023-01-10,1
sgkit,2023-01-16,1
sgkit,2023-01-17,1
sgkit,2023-01-24,1
sgkit,2023-01-31,1
sgkit,2023-02-01,1
sgkit,2023-02-07,1
sgkit,2023-02-09,2
sgkit,2023-02-13,1
sgkit,2023-02-14,1
sgkit,2023-02-17,2
sgkit,2023-02-20,1
sgkit,2023-02-21,1
sgkit,2023-02-28,2
sgkit,2023-03-01,7
sgkit,2023-03-02,2
sgkit,2023-03-08,1
sgkit,2023-03-13,2
sgkit,2023-04-16,1
sgkit,2023-04-18,2
sgkit,2023-04-20,1
sgkit,2023-04-21,2
sgkit,2023-04-24,2
sgkit,2023-04-25,1
sgkit,2023-05-02,3
sgkit,2023-05-03,4
sgkit,2023-05-09,1
sgkit,2023-05-16,1
sgkit,2023-09-04,3
sgkit,2023-09-05,1
sgkit,2023-10-09,1
sgkit,2023-11-13,1
sgkit,2023-12-18,2
sgkit,2024-02-05,4
sgkit,2024-03-04,2
sgkit,2024-05-01,3
sgkit,2024-06-24,3
sgkit,2024-06-27,4
sgkit,2024-08-14,2
sgkit,2024-08-19,1
sgkit,2024-08-25,1
sgkit,2024-09-02,2
sgkit,2024-09-03,4
sgkit,2024-09-04,1
sgkit,2024-09-06,1
sgkit,2024-09-09,1
sgkit,2024-09-10,1
sgkit,2024-09-11,1
sgkit,2024-09-16,1
sgkit,2024-09-17,7
sgkit,2024-09-24,2
sgkit,2024-09-25,1
sgkit,2024-10-02,1
sgkit,2024-10-08,1
sgkit,2024-10-10,1
sgkit,2024-10-11,1
sgkit,2024-10-14,2
sgkit,2024-10-28,2
sgkit,2024-11-04,2
sgkit,2024-11-18,2
sgkit,2025-01-14,3
sgkit,2025-01-20,2
sgkit,2025-02-10,1
sgkit,2025-03-31,2
sgkit,2025-04-01,1
sgkit,2025-04-07,4
sgkit,2025-04-14,1
sgkit,2025-04-22,5
sgkit,2025-05-28,1
sgkit-feedstock,2023-05-03,2
sgkit-feedstock,2024-07-01,1
sgkit-publication,2023-01-24,2
sgkit-publication,2023-01-25,2
sgkit-publication-popgen,2023-01-30,2
vcf-to-zarr-modal,2023-09-15,1
vcf-to-zarr-modal,2023-09-20,1
vcf-zarr-publication,2024-04-17,1
vcf-zarr-spec,2021-11-24,2
vcf-zarr-spec,2021-11-25,2
vcf-zarr-spec,2023-03-22,1
vcf-zarr-spec,2023-05-10,1
vcf-zarr-spec,2025-03-03,5
vcf-zarr-spec,2025-03-17,1
vcztools,2024-06-27,1
vcztools,2024-07-01,2
vcztools,2024-07-03,1
vcztools,2024-07-11,2
vcztools,2024-07-12,5
vcztools,2024-07-22,2
vcztools,2024-07-23,7
vcztools,2024-07-24,6
vcztools,2024-07-25,1
vcztools,2024-07-26,1
vcztools,2024-07-28,2
vcztools,2024-07-29,2
vcztools,2024-08-03,4
vcztools,2024-08-05,2
vcztools,2024-08-06,3
vcztools,2024-08-20,1
vcztools,2024-08-25,1
vcztools,2024-08-27,1
vcztools,2024-09-24,1
vcztools,2024-09-27,4
vcztools,2024-10-29,4
vcztools,2024-11-04,1
vcztools,2024-11-19,1
vcztools,2024-11-25,1
vcztools,2025-01-14,1
vcztools,2025-02-04,1
vcztools,2025-02-10,2
vcztools,2025-02-11,1
vcztools,2025-02-19,1
vcztools,2025-02-20,1
vcztools,2025-04-15,3
vcztools,2025-04-16,3
vcztools,2025-04-22,2
vcztools,2025-04-30,1
vcztools,2025-05-01,1
vcztools,2025-05-02,1
vcztools,2025-05-04,2
